loopIteration,time (us),axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest (V),amperageLatest (A),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],debug[0],debug[1],debug[2],debug[3],motor[0],energyCumulative (mAh),flightModeFlags (flags),stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid
1008,13534369,0,-3,1,-4,-91,135,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-242,132,2127,0,0,0,0,210,0,0,0,IDLE,0,0
1024,13566373,0,-2,1,-4,-92,137,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-239,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1025,13568371,0,-3,1,-4,-92,137,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1026,13570718,0,-3,1,-4,-93,137,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1027,13572718,0,-3,1,-4,-93,137,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1028,13574718,0,-3,1,-4,-93,137,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1029,13576719,0,-3,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1030,13578719,0,-3,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1031,13580719,0,-3,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1032,13582721,0,-3,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1033,13584720,0,-2,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1034,13586721,0,-3,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1035,13588720,0,-2,1,-4,-93,138,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1036,13590722,0,-3,1,-4,-93,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1037,13592721,0,-2,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1038,13594722,0,-2,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1039,13596722,0,-2,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-237,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1040,13598724,0,-3,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1041,13600723,0,-3,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1042,13602725,0,-2,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1043,13604724,0,-2,1,-4,-94,139,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1044,13606726,0,-2,1,-4,-94,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,130,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1045,13608982,0,-2,1,-4,-94,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1046,13610984,0,-2,1,-4,-94,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-238,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1047,13612984,0,-3,1,-4,-94,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-239,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1048,13614984,0,-3,1,-4,-94,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-239,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1049,13616984,0,-3,1,-4,-95,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-239,131,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1050,13618984,0,-3,1,-4,-95,140,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-239,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1051,13620984,0,-2,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-240,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1052,13622986,0,-2,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-240,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1053,13624987,0,-2,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-240,131,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1054,13626988,0,-3,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-240,132,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1055,13628988,0,-2,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-240,132,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1056,13630990,0,-3,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-241,132,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1057,13632990,0,-3,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-241,132,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1058,13634991,0,-3,1,-4,-95,141,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-242,132,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1059,13636991,0,-2,1,-4,-95,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-242,132,2123,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1060,13638992,0,-2,1,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-243,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1061,13640992,0,-2,1,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-243,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1062,13642993,0,-2,1,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-243,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1063,13644993,0,-2,1,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-244,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1064,13646993,0,-2,2,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-244,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1065,13649264,0,-2,1,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-244,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1066,13651263,0,-2,1,-4,-96,142,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-244,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1067,13653264,0,-2,1,-4,-96,143,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-244,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1068,13655263,0,-2,1,-4,-96,143,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-243,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
1069,13657264,0,-2,1,-4,-96,143,0,0,0,0,0,0,-5,3,1028,0,-2,1,28,26.859,0.075,-17,660,0,0,0,-243,133,2124,0,0,0,0,210,0,ARM|SERVO3,0,IDLE,1,1
